Date,WinLoss,Open
12/7/2018,10,
12/8/2018,12,
12/9/2018,8,
12/10/2018,8,
12/11/2018,10,
12/12/2018,9,
12/13/2018,10,
12/14/2018,9,
12/15/2018,11,
12/16/2018,8,
12/17/2018,10,
12/18/2018,12,
12/19/2018,10,
12/20/2018,9,
12/21/2018,10,
12/22/2018,9,
12/23/2018,10,
12/24/2018,10,
12/25/2018,10,
12/26/2018,10,
12/27/2018,9,
12/28/2018,11,
12/29/2018,12,
12/30/2018,11,
12/31/2018,12,
1/1/2019,10,
1/2/2019,9,
1/3/2019,11,
1/4/2019,9,
1/5/2019,11,
1/6/2019,7,
1/7/2019,10,
1/8/2019,8,
1/9/2019,10,
1/10/2019,9,
1/11/2019,10,
1/12/2019,10,
1/13/2019,11,
1/14/2019,10,
1/15/2019,12,
1/16/2019,10,
1/17/2019,12,
1/18/2019,11,
1/19/2019,11,
1/20/2019,10,
1/21/2019,9,
1/22/2019,9,
1/23/2019,8,
1/24/2019,10,
1/25/2019,10,
1/26/2019,9,
1/27/2019,7,
1/28/2019,11,
1/29/2019,9,
1/30/2019,8,
1/31/2019,11,
2/1/2019,9,
2/2/2019,9,
2/3/2019,8,
2/4/2019,9,
2/5/2019,9,
2/6/2019,10,
2/7/2019,11,
2/8/2019,11,
2/9/2019,11,
2/10/2019,10,
2/11/2019,10,
2/12/2019,6,
2/13/2019,10,
2/14/2019,11,
2/15/2019,11,
2/16/2019,11,
2/17/2019,10,
2/18/2019,10,
2/19/2019,11,
2/20/2019,9,
2/21/2019,8,
2/22/2019,11,
2/23/2019,11,
2/24/2019,9,
2/25/2019,11,
2/26/2019,9,
2/27/2019,7,
2/28/2019,11,
3/1/2019,8,
3/2/2019,10,
3/3/2019,4,
3/4/2019,9,
3/5/2019,10,
3/6/2019,11,
3/7/2019,9,
3/8/2019,11,
3/9/2019,9,
3/10/2019,12,
3/11/2019,9,
3/12/2019,9,
3/13/2019,9,
3/14/2019,10,
3/15/2019,10,
3/16/2019,7,
3/17/2019,12,
3/18/2019,10,
3/19/2019,10,
3/20/2019,10,
3/21/2019,8,
3/22/2019,9,
3/23/2019,12,
3/24/2019,13,
3/25/2019,8,
3/26/2019,9,
3/27/2019,9,
3/28/2019,13,
3/29/2019,11,
3/30/2019,11,
3/31/2019,9,
4/1/2019,9,
4/2/2019,10,
4/3/2019,10,
4/4/2019,10,
4/5/2019,8,
4/6/2019,13,
4/7/2019,9,
4/8/2019,8,
4/9/2019,6,
4/10/2019,10,
4/11/2019,11,
4/12/2019,11,
4/13/2019,10,
4/14/2019,11,
4/15/2019,11,
4/16/2019,9,
4/17/2019,9,
4/18/2019,8,
4/19/2019,12,
4/20/2019,8,
4/21/2019,10,
4/22/2019,12,
4/23/2019,12,
4/24/2019,9,
4/25/2019,8,
4/26/2019,8,
4/27/2019,11,
4/28/2019,11,
4/29/2019,9,
4/30/2019,9,
5/1/2019,7,
5/2/2019,11,
5/3/2019,10,
5/4/2019,8,
5/5/2019,10,
5/6/2019,12,
5/7/2019,12,
5/8/2019,9,
5/9/2019,12,
5/10/2019,12,
5/11/2019,10,
5/12/2019,10,
5/13/2019,11,
5/14/2019,11,
5/15/2019,10,
5/16/2019,9,
5/17/2019,10,
5/18/2019,8,
5/19/2019,10,
5/20/2019,12,
5/21/2019,12,
5/22/2019,12,
5/23/2019,11,
5/24/2019,8,
5/25/2019,13,
5/26/2019,10,
5/27/2019,8,
5/28/2019,10,
5/29/2019,8,
5/30/2019,8,
5/31/2019,11,
6/1/2019,10,
6/2/2019,8,
6/3/2019,11,
6/4/2019,9,
6/5/2019,8,
6/6/2019,12,
6/7/2019,8,
6/8/2019,10,
6/9/2019,14,
6/10/2019,10,
6/11/2019,10,
6/12/2019,11,
6/13/2019,8,
6/14/2019,8,
6/15/2019,12,
6/16/2019,10,
6/17/2019,10,
6/18/2019,12,
6/19/2019,10,
6/20/2019,10,
6/21/2019,12,
6/22/2019,12,
6/23/2019,8,
6/24/2019,10,
6/25/2019,10,
6/26/2019,10,
6/27/2019,9,
6/28/2019,9,
6/29/2019,10,
6/30/2019,12,
7/1/2019,10,
7/2/2019,10,
7/3/2019,10,
7/4/2019,11,
7/5/2019,10,
7/6/2019,10,
7/7/2019,8,
7/8/2019,10,
7/9/2019,10,
7/10/2019,10,
7/11/2019,10,
7/12/2019,10,
7/13/2019,10,
7/14/2019,12,
7/15/2019,9,
7/16/2019,12,
7/17/2019,11,
7/18/2019,10,
7/19/2019,10,
7/20/2019,12,
7/21/2019,8,
7/22/2019,9,
7/23/2019,12,
7/24/2019,10,
7/25/2019,10,
7/26/2019,10,
7/27/2019,10,
7/28/2019,12,
7/29/2019,10,
7/30/2019,10,
7/31/2019,12,
8/1/2019,11,
8/2/2019,10,
8/3/2019,12,
8/4/2019,12,
8/5/2019,12,
8/6/2019,12,
8/7/2019,12,
8/8/2019,11,
8/9/2019,10,
8/10/2019,10,
8/11/2019,10,
8/12/2019,11,
8/13/2019,10,
8/14/2019,10,
8/15/2019,10,
8/16/2019,10,
8/17/2019,12,
8/18/2019,10,
8/19/2019,10,
8/20/2019,10,
8/21/2019,10,
8/22/2019,10,
8/23/2019,10,
8/24/2019,8,
8/25/2019,10,
8/26/2019,11,
8/27/2019,10,
8/28/2019,10,
8/29/2019,9,
8/30/2019,10,
8/31/2019,12,
9/1/2019,10,
9/2/2019,10,
9/3/2019,10,
9/4/2019,12,
9/5/2019,10,
9/6/2019,10,
9/7/2019,10,
9/8/2019,10,
9/9/2019,12,
9/10/2019,10,
9/11/2019,11,
9/12/2019,12,
9/13/2019,8,
9/14/2019,12,
9/15/2019,8,
9/16/2019,9,
9/17/2019,12,
9/18/2019,10,
9/19/2019,11,
9/20/2019,10,
9/21/2019,10,
9/22/2019,12,
9/23/2019,9,
9/24/2019,10,
9/25/2019,10,
9/26/2019,9,
9/27/2019,12,
9/28/2019,10,
9/29/2019,10,
9/30/2019,10,
10/1/2019,10,
10/2/2019,10,
10/3/2019,11,
10/4/2019,10,
10/5/2019,12,
10/6/2019,11,
10/7/2019,11,
10/8/2019,9,
10/9/2019,10,
10/10/2019,10,
10/11/2019,9,
10/12/2019,11,
10/13/2019,9,
10/14/2019,11,
10/15/2019,9,
10/16/2019,10,
10/17/2019,9,
10/18/2019,10,
10/19/2019,10,
10/20/2019,9,
10/21/2019,10,
10/22/2019,9,
10/23/2019,10,
10/24/2019,12,
10/25/2019,11,
10/26/2019,10,
10/27/2019,10,
10/28/2019,10,
10/29/2019,11,
10/30/2019,10,
10/31/2019,10,
11/1/2019,10,
11/2/2019,12,
11/3/2019,11,
11/4/2019,9,
11/5/2019,12,
11/6/2019,10,
11/7/2019,10,
11/8/2019,11,
11/9/2019,11,
11/10/2019,10,
11/11/2019,10,
11/12/2019,12,
11/13/2019,11,
11/14/2019,8,
11/15/2019,10,
11/16/2019,10,
11/17/2019,10,
11/18/2019,9,
11/19/2019,11,
11/20/2019,10,
11/21/2019,11,
11/22/2019,8,
11/23/2019,10,
11/24/2019,9,
11/25/2019,10,
11/26/2019,10,
11/27/2019,10,
11/28/2019,10,
11/29/2019,9,
11/30/2019,12,
12/1/2019,10,
12/2/2019,10,
12/3/2019,9,
12/4/2019,10,
12/5/2019,12,
12/6/2019,9,
12/7/2019,9,
12/8/2019,11,
12/9/2019,11,
12/10/2019,9,
12/11/2019,10,
12/12/2019,12,
12/13/2019,10,
12/14/2019,10,
12/15/2019,9,
12/16/2019,8,
12/17/2019,9,
12/18/2019,10,
12/19/2019,11,
12/20/2019,9,
12/21/2019,9,
12/22/2019,9,
12/23/2019,8,
12/24/2019,10,
12/25/2019,10,
12/26/2019,10,
12/27/2019,10,
12/28/2019,11,
12/29/2019,9,
12/30/2019,10,
12/31/2019,10,
1/1/2020,10,
1/2/2020,7,
1/3/2020,10,
1/4/2020,8,
1/5/2020,9,
1/6/2020,11,
1/7/2020,12,
1/8/2020,10,
1/9/2020,11,
1/10/2020,10,
1/11/2020,8,
1/12/2020,8,
